"Date","Cloud Cover Average"
"2014-01-15 05:00:00","0"
"2014-01-15 06:00:00","0"
"2014-01-15 07:00:00","0"
"2014-01-15 08:00:00","0"
"2014-01-15 09:00:00","0"
"2014-01-15 10:00:00","0"
"2014-01-15 11:00:00","0"
"2014-01-15 12:00:00","0"
"2014-01-15 13:00:00","0"
"2014-01-15 14:00:00","0"
"2014-01-15 15:00:00","0"
"2014-01-15 16:00:00","0"
"2014-01-15 17:00:00","0"
"2014-01-15 18:00:00","0"
"2014-01-15 19:00:00","0"
"2014-01-15 20:00:00","0"
"2014-01-15 21:00:00","0"
"2014-01-15 22:00:00","0"
"2014-01-15 23:00:00","0"
"2014-01-16 00:00:00","0"
"2014-01-16 01:00:00","0"
"2014-01-16 02:00:00","0"
"2014-01-16 03:00:00","0"
"2014-01-16 04:00:00","0"
"2014-02-15 05:00:00","0"
"2014-02-15 06:00:00","0"
"2014-02-15 07:00:00","0"
"2014-02-15 08:00:00","0"
"2014-02-15 09:00:00","0"
"2014-02-15 10:00:00","0"
"2014-02-15 11:00:00","0"
"2014-02-15 12:00:00","0"
"2014-02-15 13:00:00","0"
"2014-02-15 14:00:00","0"
"2014-02-15 15:00:00","0"
"2014-02-15 16:00:00","0"
"2014-02-15 17:00:00","0"
"2014-02-15 18:00:00","0"
"2014-02-15 19:00:00","0"
"2014-02-15 20:00:00","0"
"2014-02-15 21:00:00","0"
"2014-02-15 22:00:00","0"
"2014-02-15 23:00:00","0"
"2014-02-16 00:00:00","0"
"2014-02-16 01:00:00","0"
"2014-02-16 02:00:00","0"
"2014-02-16 03:00:00","0"
"2014-02-16 04:00:00","0"
"2014-03-15 04:00:00","0"
"2014-03-15 05:00:00","0"
"2014-03-15 06:00:00","0"
"2014-03-15 07:00:00","0"
"2014-03-15 08:00:00","0"
"2014-03-15 09:00:00","0"
"2014-03-15 10:00:00","0"
"2014-03-15 11:00:00","0"
"2014-03-15 12:00:00","0"
"2014-03-15 13:00:00","0"
"2014-03-15 14:00:00","0"
"2014-03-15 15:00:00","0"
"2014-03-15 16:00:00","0"
"2014-03-15 17:00:00","0"
"2014-03-15 18:00:00","0"
"2014-03-15 19:00:00","0"
"2014-03-15 20:00:00","0"
"2014-03-15 21:00:00","0"
"2014-03-15 22:00:00","0"
"2014-03-15 23:00:00","0"
"2014-03-16 00:00:00","0"
"2014-03-16 01:00:00","0"
"2014-03-16 02:00:00","0"
"2014-03-16 03:00:00","0"
"2014-04-15 04:00:00","0"
"2014-04-15 05:00:00","0"
"2014-04-15 06:00:00","0"
"2014-04-15 07:00:00","0"
"2014-04-15 08:00:00","0"
"2014-04-15 09:00:00","0"
"2014-04-15 10:00:00","0"
"2014-04-15 11:00:00","0"
"2014-04-15 12:00:00","0"
"2014-04-15 13:00:00","0"
"2014-04-15 14:00:00","0"
"2014-04-15 15:00:00","0"
"2014-04-15 16:00:00","0"
"2014-04-15 17:00:00","0"
"2014-04-15 18:00:00","0"
"2014-04-15 19:00:00","0"
"2014-04-15 20:00:00","0"
"2014-04-15 21:00:00","0"
"2014-04-15 22:00:00","0"
"2014-04-15 23:00:00","0"
"2014-04-16 00:00:00","0"
"2014-04-16 01:00:00","0"
"2014-04-16 02:00:00","0"
"2014-04-16 03:00:00","0"
"2014-05-15 04:00:00","0.11"
"2014-05-15 05:00:00","0.31"
"2014-05-15 06:00:00","0"
"2014-05-15 07:00:00","0"
"2014-05-15 08:00:00","0"
"2014-05-15 09:00:00","0"
"2014-05-15 10:00:00","0"
"2014-05-15 11:00:00","0"
"2014-05-15 12:00:00","0"
"2014-05-15 13:00:00","0"
"2014-05-15 14:00:00","0"
"2014-05-15 15:00:00","0"
